21:02:16.889 INFO  Delay for 30 second(s) 
21:02:16.890 INFO  Landmine Thrusters 50 lbs for 15 second(s) 
21:02:16.891 INFO  Rest for 20 second(s) 
21:02:16.892 INFO  Hang Situps for 15 second(s) 
21:02:16.893 INFO  Rest for 20 second(s) 
21:02:16.895 INFO  Landmine Thrusters 50 lbs for 15 second(s) 
21:02:16.896 INFO  Rest for 20 second(s) 
21:02:16.897 INFO  Hang Situps for 15 second(s) 
21:02:16.898 INFO  Rest for 20 second(s) 
21:02:16.899 INFO  Landmine Thrusters 50 lbs for 15 second(s) 
21:02:16.900 INFO  Rest for 20 second(s) 
21:02:16.901 INFO  Hang Situps for 15 second(s) 
21:02:16.902 INFO  Rest for 20 second(s) 
21:02:16.904 INFO  Squat Jumps for 15 second(s) 
21:02:16.905 INFO  Rest for 20 second(s) 
21:02:16.906 INFO  Pull Ups for 15 second(s) 
21:02:16.907 INFO  Rest for 20 second(s) 
21:02:16.908 INFO  Squat Jumps for 15 second(s) 
21:02:16.909 INFO  Rest for 20 second(s) 
21:02:16.910 INFO  Pull Ups for 15 second(s) 
21:02:16.911 INFO  Rest for 20 second(s) 
21:02:16.912 INFO  Squat Jumps for 15 second(s) 
21:02:16.914 INFO  Rest for 20 second(s) 
21:02:16.916 INFO  Pull Ups for 15 second(s) 
21:02:16.918 INFO  Rest for 20 second(s) 
21:02:16.919 INFO  Db Swing 45 lbs for 15 second(s) 
21:02:16.920 INFO  Rest for 20 second(s) 
21:02:16.921 INFO  Push Ups for 15 second(s) 
21:02:16.922 INFO  Rest for 20 second(s) 
21:02:16.923 INFO  Db Swing 45 lbs for 15 second(s) 
21:02:16.924 INFO  Rest for 20 second(s) 
21:02:16.925 INFO  Push Ups for 15 second(s) 
21:02:16.926 INFO  Rest for 20 second(s) 
21:02:16.927 INFO  Db Swing 45 lbs for 15 second(s) 
21:02:16.928 INFO  Rest for 20 second(s) 
21:02:16.929 INFO  Push Ups for 15 second(s) 
21:02:16.930 INFO  Rest for 20 second(s) 
21:02:16.930 INFO   
